#w(um) u1     u2
0.6030 0.3900 0.2730
0.6099 0.3880 0.2690
0.6172 0.3810 0.2680
0.6240 0.3760 0.2690
0.6309 0.3710 0.2710
0.6382 0.3640 0.2720
0.6450 0.3560 0.2740
0.6519 0.3240 0.2890
0.6592 0.2890 0.2990
0.6660 0.3430 0.2740
0.6729 0.3420 0.2700
0.6802 0.3390 0.2680
0.6870 0.3350 0.2680
0.6938 0.3310 0.2690
0.7012 0.3280 0.2650
0.7080 0.3240 0.2660
0.7148 0.3190 0.2650
0.7222 0.3170 0.2620
0.7290 0.3120 0.2640
0.7358 0.3080 0.2640
0.7432 0.3040 0.2620
0.7500 0.3010 0.2640
0.7568 0.2980 0.2640
0.7642 0.2940 0.2630
0.7710 0.2900 0.2630
0.7778 0.2860 0.2640
0.7852 0.2840 0.2620
0.7920 0.2820 0.2620
0.7988 0.2790 0.2630
0.8062 0.2780 0.2610
0.8130 0.2760 0.2620
0.8198 0.2700 0.2590
0.8271 0.2680 0.2610
0.8340 0.2660 0.2600
0.8408 0.2610 0.2610
0.8481 0.2520 0.2600
0.8550 0.2420 0.2600
0.8618 0.2480 0.2640
0.8691 0.2470 0.2570
0.8760 0.2370 0.2630
0.8828 0.2410 0.2600
0.8901 0.2460 0.2570
0.8970 0.2460 0.2540
0.9038 0.2290 0.2640
0.9111 0.2480 0.2480
0.9180 0.2440 0.2520
0.9248 0.2090 0.2680
0.9321 0.2460 0.2480
0.9390 0.2410 0.2460
0.9458 0.2410 0.2470
0.9531 0.1970 0.2710
0.9600 0.2260 0.2550
0.9668 0.2340 0.2480
0.9741 0.2350 0.2460
0.9810 0.2340 0.2460
0.9878 0.2290 0.2470
0.9951 0.2260 0.2500
1.0020 0.2080 0.2610
1.0088 0.1970 0.2630
1.0156 0.2160 0.2510
1.0234 0.2220 0.2480
1.0303 0.2200 0.2480
1.0371 0.2180 0.2480
1.0439 0.2150 0.2500
1.0508 0.2120 0.2500
1.0576 0.2110 0.2500
1.0654 0.2070 0.2500
1.0723 0.2020 0.2500
1.0791 0.2030 0.2490
1.0859 0.2000 0.2510
1.0928 0.1730 0.2660
1.0996 0.1790 0.2640
1.1074 0.1990 0.2530
1.1143 0.1980 0.2530
1.1211 0.1970 0.2530
1.1279 0.1910 0.2530
1.1348 0.1890 0.2540
1.1416 0.1900 0.2550
1.1494 0.1890 0.2570
1.1562 0.1880 0.2560
1.1631 0.1810 0.2570
1.1699 0.1790 0.2600
1.1768 0.1790 0.2600
1.1836 0.1770 0.2590
1.1914 0.1760 0.2630
1.1982 0.1750 0.2590
1.2051 0.1740 0.2590
1.2119 0.1720 0.2620
1.2188 0.1700 0.2660
1.2256 0.1680 0.2660
1.2334 0.1650 0.2680
1.2402 0.1650 0.2680
1.2471 0.1630 0.2690
1.2539 0.1590 0.2710
1.2607 0.1550 0.2740
1.2676 0.1530 0.2750
1.2754 0.1350 0.2880
1.2822 0.1230 0.2940
1.2891 0.1280 0.2890
1.2959 0.1440 0.2800
1.3027 0.1460 0.2780
1.3096 0.1450 0.2780
1.3174 0.1420 0.2800
1.3242 0.1410 0.2820
1.3311 0.1400 0.2810
1.3379 0.1370 0.2830
1.3447 0.1350 0.2850
1.3516 0.1330 0.2850
1.3594 0.1310 0.2850
1.3662 0.1290 0.2870
1.3730 0.1240 0.2890
1.3799 0.1230 0.2890
1.3867 0.1220 0.2900
1.3936 0.1200 0.2920
1.4014 0.1170 0.2930
1.4082 0.1150 0.2940
1.4150 0.1120 0.2960
1.4219 0.1110 0.2930
1.4287 0.1090 0.2950
1.4355 0.1050 0.2980
1.4434 0.1020 0.2920
1.4502 0.1000 0.2960
1.4570 0.0980 0.3000
1.4639 0.0960 0.3020
1.4707 0.0940 0.3020
1.4775 0.0930 0.2990
1.4854 0.0930 0.2970
1.4922 0.0880 0.3030
1.4990 0.0890 0.2990
1.5059 0.0900 0.2950
1.5127 0.0850 0.3010
1.5195 0.0820 0.3010
1.5273 0.0800 0.3020
1.5342 0.0760 0.3030
1.5410 0.0730 0.3040
1.5479 0.0720 0.3030
